"","date","location","pinyin","high","low","weather","winddirec","windlevel","isRainy"
"25","2013.07.20","南宁","nanning","31","25","雷阵雨","东风","小于3级","有雨"
"26","2013.07.27","天津","tianjin","36","24","中雨转多云","北风","小于3级","有雨"
"27","2013.09.06","台北","taibei","31","25","晴转多云","北风","小于3级","没雨"
"28","2013.09.07","台北","taibei","31","24","晴","西北风","小于3级","没雨"
"29","2013.09.08","台北","taibei","32","25","晴转阴","北风","小于3级","没雨"
"30","2013.09.13","香港","hongkong","31","27","阵雨","东风","3-4级","有雨"
"31","2013.09.14","香港","hongkong","31","26","阵雨","北风","3-4级","有雨"
"32","2013.09.15","香港","hongkong","29","25","中雨","北风","4-5级转5-6级","有雨"
"33","2013.09.16","香港","hongkong","30","26","阵雨","北风","5-6级","有雨"
"34","2013.09.17","香港","hongkong","32","26","阵雨","西风","5-6级转4-5级","有雨"
"35","2013.09.19","香港","hongkong","33","26","阵雨","北风","3-4级转小于3级","有雨"
"36","2013.09.20","香港","hongkong","32","26","阴","北风","3-4级","没雨"
"37","2013.09.21","香港","hongkong","28","25","中雨","北风","5-6级转9-10级","有雨"
"38","2013.09.22","香港","hongkong","29","25","大雨","南风","10-11级转6-7级","有雨"
"39","2013.09.30","西安","xian","29","18","阴转晴","东南风","小于3级","没雨"
"40","2013.10.19","福州","fuzhou","26","20","多云转阴","东风","小于3级","没雨"
"41","2013.11.02","重庆","chongqing","18","15","小雨","西北风","小于3级","有雨"
"42","2013.11.09","南京","nanjing","19","13","小雨","北风","4-5级转5-6级","有雨"
"43","2013.11.16","杭州","hangzhou","15","8","晴","西北风","3-4级","没雨"
"44","2013.11.24","深圳","shenzhen","21","16","多云转晴","北风","小于3级","没雨"
"45","2014.04.25","贵阳","guiyang1","16","11","阵雨","东北风","小于3级","有雨"
"46","2014.05.02","上海","shanghai","22","17","阴转多云","东北风","3-4级","没雨"
"47","2014.05.10","长沙","changsha","24","16","多云","西北风","3-4级转小于3级","没雨"
"48","2014.05.17","合肥","hefei","30","3","晴","西南风","微风","没雨"
"49","2014.05.24","北京","beijing","30","19","阴转晴","东南风","小于3级转3-4级","没雨"
"50","2014.05.31","郑州","zhengzhou","29","20","小雨转多云","西风","小于3级","有雨"
"51","2014.06.28","青岛","qingdao","30","22","多云","南风","3-4级","没雨"
"52","2014.07.12","大连","dalian","31","22","多云转晴","南风","4-5级","没雨"
"53","2014.07.19","常州","changzhou","35","27","多云","东风","3-4级","没雨"
"54","2014.09.06","广州","guangzhou","34","25","多云","东风","小于3级","没雨"
"55","2014.09.13","太原","taiyuan","18","15","小雨转中雨","西南风","小于3级","有雨"
"56","2014.11.19","香港","hongkong","24","20","多云","暂无实况","小于3级","没雨"
"57","2014.11.24","香港","hongkong","25","21","多云","暂无实况","小于3级","没雨"
"58","2015.04.11","成都","chengdu","27","11","晴","西风","小于3级","没雨"
"59","2015.04.18","重庆","chongqing","22","16","小雨转阴","东风","小于3级","有雨"
"60","2015.04.25","天津","tianjin","32","18","晴转多云","西南风","3-4级","没雨"
"61","2015.05.01","西安","xian","28","13","多云转晴","东南风","小于3级","没雨"
"62","2015.05.09","武汉","wuhan","23","15","中雨~晴","南风","小于3级","有雨"
"63","2015.05.16","南京","nanjing","25","15","多云","东南风","小于3级","没雨"
"64","2015.05.23","杭州","hangzhou","26","19","多云~","东北风","小于3级","没雨"
"65","2015.05.30","济南","jinan","31","22","晴","东南风","小于3级","没雨"
"66","2015.06.13","厦门","xiamen","33","26","阵雨~多云","西南风","小于3级","有雨"
"67","2015.06.20","深圳","shenzhen","34","28","多云","东北风","小于3级","没雨"
"68","2015.09.12","沈阳","shenyang","20","9","阵雨~晴","西南风","3-4级转4-5级","有雨"
"69","2015.09.19","洛阳","luoyang","26","17","阴~多云","东北风","小于3级","没雨"
"70","2015.09.26","佛山","foshan","34","26","多云","东北风","小于3级","没雨"
"71","2015.10.17","徐州","xuzhou","26","13","多云","东南风","小于3级","没雨"
"72","2015.10.24","丽水","lishui","28","16","晴~多云","东北风","小于3级","没雨"
"73","2015.11.07","苏州","suzhou","23","15","小雨~阵雨","东南风","3-4级","有雨"
"74","2015.11.14","南昌","nanchang","16","12","小雨~多云","东北风","小于3级","有雨"
"75","2015.12.20","昆明","kunming","14","3","多云~晴","西南风","小于3级","没雨"
"76","2011.01.15","广州","guangzhou","14","9","晴~多云","无持续风向","微风","没雨"
"77","2011.04.29","洛阳","luoyang","35","16","阵雨","无持续风向~西北风","微风~4-5级","有雨"
"78","2011.05.01","济南","jinan","26","15","晴","北风~南风","微风~3-4级","没雨"
"79","2011.06.25","长沙","changsha","30","25","多云","北风","微风","没雨"
"80","2011.07.16","南通","nantong","27","23","阵雨","东北风~南风","3-4级","有雨"
"81","2011.08.27","沈阳","shenyang","29","20","多云~小到中雨","西南风","微风","有雨"
"82","2011.09.11","苏州","suzhou","30","23","多云","东北风~东风","3-4级","没雨"
"83","2011.09.17","深圳","shenzhen","33","26","阵雨~多云","无持续风向","微风","有雨"
"84","2011.09.30","大连","dalian","14","9","晴","北风","5-6级~4-5级","没雨"
"85","2011.11.05","江阴","jiangyin","22","15","小雨","东北风","3-4级","有雨"
"86","2011.12.17","高雄","gaoxiong","23","16","阴","无持续风向","微风","没雨"
"87","2011.12.18","高雄","gaoxiong","23","16","多云~阴","无持续风向","微风","没雨"
