"","date","location","pinyin","high","low","weather","winddirec","windlevel","isRainy"
"101","2016.04.23","佛山","foshan","25","20","大雨~大到暴雨","西北风","小于3级","有雨"
"102","2016.04.30","厦门","xiamen","25","19","阵雨~阴","西北风","小于3级","有雨"
"103","2016.05.07","上海","shanghai","22","16","阵雨~中雨","东南风","小于3级","有雨"
"104","2016.05.14","杭州","hangzhou","28","18","多云~阴","西南风","小于3级","没雨"
"105","2016.05.21","郑州","zhengzhou","26","16","多云","东南风","小于3级","没雨"
"106","2016.05.28","天津","tianjin","30","20","晴~多云","西南风","小于3级","没雨"
"107","2016.06.11","青岛","qingdao","22","18","阵雨~多云","西南风","3-4级","有雨"
"108","2016.06.18","南宁","nanning","35","26","阵雨~多云","东南风","小于3级","有雨"
"109","2016.06.24","成都","chengdu","28","20","小雨","东南风","小于3级","有雨"
"110","2016.07.02","贵阳","guiyang1","28","20","阴~阵雨","西南风","小于3级","有雨"
"111","2016.07.09","南昌","nanchang","34","27","晴~阵雨","","小于3级","有雨"
"112","2016.07.16","深圳","shenzhen","33","29","多云","西南风","小于3级","没雨"
"113","2016.07.17","深圳","shenzhen","34","29","晴","南风","小于3级","没雨"
"114","2016.09.10","福州","fuzhou","30","24","阴","西北风","2级","没雨"
"115","2016.09.17","苏州","suzhou","27","22","多云","北风","2级","没雨"
"116","2016.09.24","合肥","hefei","30","21","多云","东风","1级","没雨"
"117","2016.09.30","广州","guangzhou","26","20","阵雨","北风","1级","有雨"
"118","2016.10.08","大连","dalian","16","9","晴","北风","3级","没雨"
"119","2016.10.15","沈阳","shenyang","25","12","晴","东南风","1级","没雨"
"120","2016.10.21","北京","beijing","11","11","小雨","北风","1级","有雨"
"121","2016.10.22","北京","beijing","15","7","多云","东风","1级","没雨"
