"","date","city","weather"
"57","自2011-01-01到2017-04-01","深圳","多云1139天#雨916天#晴106天#阴58天#2天#雪1天。深圳历史天气"
"58","自2011-01-01到2017-04-01","保亭","多云1283天#雨911天#阴20天#晴7天。保亭历史天气"
"59","自2011-01-01到2017-04-01","临高","多云1271天#雨908天#阴41天#晴2天。临高历史天气"
"60","自2011-01-01到2017-04-01","惠州","多云1034天#雨903天#晴174天#阴110天#1天。惠州历史天气"
"61","自2011-01-01到2017-04-01","宜昌","多云1001天#雨902天#晴157天#阴114天#雪48天。宜昌历史天气"
"62","自2011-01-01到2017-04-01","湘潭","雨898天#多云747天#晴441天#阴97天#雪39天#1天。湘潭历史天气"
"63","自2011-01-01到2017-04-01","五指山","多云1292天#雨898天#阴27天#晴3天#1天。五指山历史天气"
"64","自2011-01-01到2017-04-01","张家界","雨895天#多云876天#晴255天#阴138天#雪58天#1天。张家界历史天气"
"65","自2011-01-01到2017-04-01","宣城","雨891天#多云836天#晴290天#阴114天#雪59天。宣城历史天气"
"66","自2011-01-01到2017-04-01","邵阳","雨890天#多云761天#晴438天#阴95天#雪38天#1天。邵阳历史天气"
"67","自2011-01-01到2017-04-01","池州","雨886天#多云868天#晴259天#阴119天#雪59天。关注池州历史天气"
"68","自2011-01-01到2017-04-01","常德","雨882天#多云845天#晴337天#阴111天#雪48天。常德历史天气"
"69","自2011-01-01到2017-04-01","重庆","雨873天#多云775天#阴426天#晴143天#雪5天#3天。重庆历史天气"
"70","自2011-01-01到2017-04-01","莆田","多云1102天#雨872天#阴182天#晴64天#1天。莆田历史天气"
"71","自2011-01-01到2017-04-01","咸宁","多云1015天#雨871天#晴230天#阴62天#雪44天。咸宁历史天气"
"72","自2011-01-01到2017-04-01","漳州","多云1093天#雨862天#阴193天#晴75天。漳州历史天气"
"73","自2011-01-01到2017-04-01","中山","多云1069天#雨862天#阴148天#晴141天#1天。中山历史天气"
"74","自2011-01-01到2017-04-01","珠海","多云994天#雨860天#晴310天#阴56天#2天。珠海历史天气"
"75","自2011-01-01到2017-04-01","梅州","多云996天#雨853天#晴253天#阴119天。梅州历史天气"
"76","自2011-01-01到2017-04-01","揭阳","多云981天#雨845天#晴324天#阴69天#2天。揭阳历史天气"
"77","自2011-01-01到2017-04-01","铜陵","多云938天#雨844天#晴239天#阴114天#雪55天#1天。铜陵历史天气"
"78","自2011-01-01到2017-04-01","荆州","多云1032天#雨838天#晴211天#阴99天#雪42天。荆州历史天气"
"79","自2011-01-01到2017-04-01","潮州","多云1087天#雨835天#晴188天#阴111天。潮州历史天气"
"80","自2011-01-01到2017-04-01","安庆","多云932天#雨829天#晴246天#阴125天#雪59天。关注安庆历史天气"
"81","自2011-01-01到2017-04-01","西沙","多云1383天#雨828天#阴5天#晴4天。西沙历史天气"
"82","自2011-01-01到2017-04-01","益阳","多云1050天#雨827天#晴218天#阴79天#雪49天。益阳历史天气"
"83","自2011-01-01到2017-04-01","黄石","多云1056天#雨826天#晴247天#阴62天#雪30天。黄石历史天气"
"84","自2011-01-01到2017-04-01","岳阳","多云935天#雨825天#晴332天#阴84天#雪47天。岳阳历史天气"
"85","自2011-01-01到2017-04-01","厦门","多云1174天#雨824天#阴149天#晴76天。厦门历史天气"
"86","自2011-01-01到2017-04-01","神农架","多云965天#雨824天#晴201天#雪148天#阴84天。神农架历史天气"
"87","自2011-01-01到2017-04-01","汕尾","多云1026天#雨819天#晴260天#阴116天#1天。汕尾历史天气"
"88","自2012-04-12到2017-04-01","黄山市","雨815天#多云626天#晴206天#阴62天#雪39天。关注黄山市历史天气"
"89","自2011-01-01到2017-04-01","潜江","多云1060天#雨808天#晴223天#阴91天#雪38天。潜江历史天气"
"90","自2011-01-01到2017-04-01","芜湖","多云994天#雨804天#晴253天#阴96天#雪43天。芜湖历史天气"
"91","自2011-01-01到2017-04-01","黄冈","多云1057天#雨804天#晴247天#阴77天#雪37天。黄冈历史天气"
"92","自2011-01-01到2017-04-01","鄂州","多云1084天#雨801天#晴231天#阴68天#雪36天。鄂州历史天气"
"93","自2011-01-01到2017-04-01","马鞍山","多云992天#雨786天#晴263天#阴100天#雪51天。关注马鞍山历史天气"
"94","自2011-01-01到2017-04-01","汕头","多云1079天#雨783天#晴247天#阴113天。汕头历史天气"
"95","自2011-01-01到2017-04-01","泉州","多云1166天#雨781天#阴170天#晴104天#1天。泉州历史天气"
"96","自2011-01-01到2017-04-01","陵水","多云1419天#雨779天#阴21天#晴2天#1天。陵水历史天气"
"97","自2011-01-01到2017-04-01","天门","多云1097天#雨768天#晴221天#阴98天#雪37天。天门历史天气"
"98","自2011-01-01到2017-04-01","武汉","多云1140天#雨757天#晴218天#阴73天#雪35天。武汉历史天气"
"99","自2011-01-01到2017-04-01","武汉","多云1140天#雨757天#晴218天#阴73天#雪35天。武汉历史天气"
"100","自2011-01-01到2017-04-01","仙桃","多云1116天#雨755天#晴236天#阴81天#雪34天。仙桃历史天气"
"101","自2011-01-01到2017-04-01","昌江","多云1403天#雨752天#阴57天#5天#晴5天。昌江历史天气"
"102","自2011-01-01到2017-04-01","乐东","多云1441天#雨752天#阴25天#晴3天。乐东历史天气"
"103","自2011-01-01到2017-04-01","六安","多云925天#雨750天#晴267天#阴186天#雪61天#3天。关注六安历史天气"
"104","自2012-10-23到2017-04-01","钓鱼岛","雨726天#多云411天#阴296天#晴68天#62天。钓鱼岛历史天气"
"105","自2011-01-01到2017-04-01","合肥","多云993天#雨723天#晴302天#阴120天#雪54天#1天。关注合肥历史天气"
"106","自2011-01-01到2017-04-01","滁州","多云1019天#雨708天#晴294天#阴123天#雪48天。关注滁州历史天气"
"107","自2011-01-01到2017-04-01","荆门","多云1159天#雨703天#晴196天#阴114天#雪51天。荆门历史天气"
"108","自2011-01-01到2017-04-01","十堰","多云1068天#雨702天#晴299天#阴83天#雪68天。十堰历史天气"
"109","自2011-01-01到2017-04-01","信阳","多云844天#雨685天#晴501天#阴132天#雪60天#1天。信阳历史天气"
"110","自2011-01-01到2017-04-01","孝感","多云1160天#雨683天#晴238天#阴108天#雪32天。孝感历史天气"
"111","自2011-01-01到2017-04-01","三亚","多云1537天#雨653天#阴18天#晴16天。三亚历史天气"
"112","自2011-01-01到2017-04-01","淮南","多云1078天#雨641天#晴299天#阴130天#雪43天。关注淮南历史天气"
"113","自2011-01-01到2017-04-01","蚌埠","多云1099天#雨622天#晴322天#阴109天#雪40天。关注蚌埠历史天气"
"114","自2011-01-01到2017-04-01","阜阳","多云1092天#雨614天#晴299天#阴139天#雪48天。关注阜阳历史天气"
"115","自2011-01-01到2017-04-01","随州","多云1124天#雨609天#晴352天#阴88天#雪50天。随州历史天气"
"116","自2011-01-01到2017-04-01","南阳","多云896天#雨591天#晴520天#阴160天#雪56天。南阳历史天气"
"117","自2011-01-01到2017-04-01","双鸭山","晴752天#雨588天#多云566天#雪315天#阴1天。双鸭山历史天气"
"118","自2011-01-01到2017-04-01","宿州","多云1148天#雨585天#晴281天#阴131天#雪46天。关注宿州历史天气"
"119","自2011-01-01到2017-04-01","伊春","多云816天#雨571天#晴500天#雪330天#阴6天。伊春历史天气"
"120","自2011-01-01到2017-04-01","淮北","多云1144天#雨570天#晴320天#阴116天#雪41天。关注淮北历史天气"
"121","自2011-01-01到2017-04-01","牡丹江","多云819天#雨568天#晴562天#雪271天#阴4天。牡丹江历史天气"
"122","自2011-01-01到2017-04-01","鸡西","多云843天#晴559天#雨552天#雪264天#阴5天。鸡西历史天气"
"123","自2011-01-01到2017-04-01","佳木斯","多云728天#晴700天#雨540天#雪254天#阴2天。佳木斯历史天气"
"124","自2011-01-01到2017-04-01","济源","多云929天#晴568天#雨531天#阴120天#雪68天#5天。济源历史天气"
"125","自2011-01-01到2017-04-01","唐山","多云834天#晴712天#雨530天#阴70天#雪60天#18天。唐山历史天气"
"126","自2011-01-01到2017-04-01","亳州","多云1150天#雨527天#晴336天#阴137天#雪42天。关注亳州历史天气"
"127","自2011-01-01到2017-04-01","驻马店","多云925天#晴557天#雨524天#阴161天#雪53天#1天。驻马店历史天气"
"128","自2011-01-01到2017-04-01","哈尔滨","晴763天#多云684天#雨516天#雪228天#29天#阴3天。哈尔滨历史天气"
"129","自2011-01-01到2017-04-01","天水","多云1111天#雨511天#晴427天#雪99天#阴70天#沙尘4天。天水历史天气"
"130","自2011-01-01到2017-04-01","平凉","多云1179天#雨507天#晴335天#雪121天#阴81天#沙尘1天。平凉历史天气"
"131","自2012-04-12到2017-04-01","襄阳","多云869天#雨507天#晴276天#阴84天#雪40天#3天。襄阳历史天气"
"132","自2011-01-01到2017-04-01","鹤岗","多云1017天#雨505天#晴492天#雪209天。鹤岗历史天气"
"133","自2011-01-01到2017-04-01","周口","多云885天#晴678天#雨502天#阴103天#雪48天#7天。周口历史天气"
"134","自2011-01-01到2017-04-01","东方","多云1661天#雨502天#阴58天#晴3天。东方历史天气"
"135","自2011-01-01到2017-04-01","定西","多云876天#晴701天#雨493天#雪136天#阴12天#沙尘5天。定西历史天气"
"136","自2011-01-01到2017-04-01","商丘","多云842天#晴735天#雨478天#阴117天#雪48天#4天。商丘历史天气"
"137","自2011-01-01到2017-04-01","黑河","多云962天#晴496天#雨476天#雪284天#阴7天。黑河历史天气"
"138","自2011-01-01到2017-04-01","绥化","多云1017天#晴542天#雨474天#雪185天#5天#阴1天。绥化历史天气"
"139","自2011-01-01到2017-04-01","洛阳","多云936天#晴589天#雨469天#阴155天#雪66天#8天。洛阳历史天气"
"140","自2011-01-01到2017-04-01","张家口","多云872天#晴720天#雨468天#雪117天#阴44天#沙尘3天。张家口历史天气"
"141","自2011-01-01到2017-04-01","平顶山","多云896天#晴707天#雨465天#阴102天#雪50天#5天。平顶山历史天气"
"142","自2011-01-01到2017-04-01","漯河","多云838天#晴772天#雨464天#阴96天#雪51天#2天。漯河历史天气"
"143","自2011-01-01到2017-04-01","兰州","多云855天#晴765天#雨461天#雪98天#阴24天#沙尘22天。兰州历史天气"
"144","自2011-01-01到2017-04-01","承德","多云825天#晴792天#雨461天#雪121天#阴23天#3天。承德历史天气"
"145","自2011-01-01到2017-04-01","三门峡","多云956天#晴624天#雨459天#阴117天#雪66天#1天。三门峡历史天气"
"146","自2011-01-01到2017-04-01","开封","多云945天#晴652天#雨449天#阴124天#雪49天#4天。开封历史天气"
"147","自2011-01-01到2017-04-01","许昌","多云958天#晴670天#雨448天#阴91天#雪50天#5天。许昌历史天气"
"148","自2011-01-01到2017-04-01","郑州","多云930天#晴683天#雨446天#阴110天#雪51天#4天。郑州历史天气"
"149","自2011-01-01到2017-04-01","新乡","多云952天#晴652天#雨446天#阴119天#雪42天#12天。新乡历史天气"
"150","自2011-01-01到2017-04-01","焦作","多云944天#晴669天#雨438天#阴115天#雪54天#4天。焦作历史天气"
"151","自2011-01-01到2017-04-01","濮阳","多云913天#晴694天#雨432天#阴113天#雪62天#8天#沙尘1天。濮阳历史天气"
"152","自2011-01-01到2017-04-01","北京","多云740天#晴708天#雨430天#阴171天#99天#雪72天#沙尘6天。北京历史天气"
"153","自2011-01-01到2017-04-01","鹤壁","多云961天#晴644天#雨420天#阴121天#雪58天#18天。鹤壁历史天气"
"154","自2015-07-23到2017-04-01","黔西南","雨413天#多云108天#阴89天#晴4天#雪1天。黔西南历史天气"
"155","自2011-01-01到2017-04-01","大兴安岭","多云1023天#晴481天#雨412天#雪239天#阴51天#18天。大兴安岭历史天气"
"156","自2011-01-01到2017-04-01","大庆","多云854天#晴806天#雨408天#雪140天#阴16天。大庆历史天气"
"157","自2011-01-01到2017-04-01","齐齐哈尔","多云1005天#晴668天#雨408天#雪131天#阴9天#3天#沙尘1天。齐齐哈尔历史天气"
"158","自2011-01-01到2017-04-01","大连","晴927天#多云751天#雨405天#雪96天#阴34天#7天#沙尘4天。大连历史天气"
"159","自2011-01-01到2017-04-01","大连","晴927天#多云751天#雨405天#雪96天#阴34天#7天#沙尘4天。大连历史天气"
"160","自2011-01-01到2017-04-01","保定","多云829天#晴818天#雨397天#65天#阴63天#雪51天。保定历史天气"
"161","自2011-01-01到2017-04-01","秦皇岛","多云900天#晴738天#雨393天#阴95天#雪69天#26天#沙尘2天。秦皇岛历史天气"
"162","自2011-01-01到2017-04-01","安阳","多云1017天#晴664天#雨391天#阴104天#雪47天#1天。安阳历史天气"
"163","自2011-01-01到2017-04-01","白银","多云888天#晴825天#雨390天#雪84天#阴20天#沙尘14天#1天。白银历史天气"
"164","自2011-01-01到2017-04-01","石家庄","多云870天#晴717天#雨390天#98天#阴91天#雪60天。石家庄历史天气"
"165","自2011-01-01到2017-04-01","邢台","多云955天#晴703天#雨390天#阴64天#雪60天#51天。邢台历史天气"
"166","自2011-01-01到2017-04-01","邯郸","多云965天#晴715天#雨367天#阴89天#雪53天#34天。邯郸历史天气"
"167","自2011-01-01到2017-04-01","武威","多云1463天#雨360天#晴264天#雪116天#沙尘18天#1天。武威历史天气"
"168","自2011-01-01到2017-04-01","衡水","多云979天#晴726天#雨358天#阴69天#雪48天#44天。衡水历史天气"
"169","自2011-01-01到2017-04-01","廊坊","多云837天#晴784天#雨351天#阴133天#60天#雪57天#沙尘1天。廊坊历史天气"
"170","自2011-01-01到2017-04-01","金昌","多云1443天#雨348天#晴269天#雪135天#沙尘26天#阴1天。金昌历史天气"
"171","自2011-01-01到2017-04-01","沧州","多云922天#晴772天#雨348天#阴95天#雪47天#40天。沧州历史天气"
"172","自2015-07-23到2017-04-01","六盘水","雨326天#多云178天#阴81天#雪19天#晴12天。六盘水历史天气"
"173","自2015-07-23到2017-04-01","黔南","雨301天#多云174天#阴120天#晴18天#雪2天#1天。黔南历史天气"
"174","自2015-07-23到2017-04-01","黔东南","雨260天#多云204天#阴107天#晴41天#雪4天。黔东南历史天气"
"175","自2011-01-01到2017-04-01","张掖","晴994天#多云845天#雨257天#雪97天#沙尘23天#阴8天。张掖历史天气"
"176","自2011-01-01到2017-04-01","酒泉","多云970天#晴867天#雨228天#雪74天#沙尘48天#阴35天。酒泉历史天气"
"177","自2011-01-01到2017-04-01","嘉峪","晴1107天#多云744天#雨225天#雪79天#沙尘38天#阴29天。嘉峪历史天气"
"178","自2015-07-23到2017-04-01","甘南","多云254天#晴175天#雨136天#雪49天#阴3天。甘南历史天气"
"179","自2015-07-23到2017-04-01","陇南","多云376天#雨113天#晴82天#阴41天#雪5天。陇南历史天气"
"180","自2011-01-01到2017-03-01#七台河","多云750天#晴617天#雨538天#雪288天。七台河历史天气",""
