"date","high","low","weather","windDirection","windLevel","isRainy","city","url","title","now"
"2011-01-11","1","-6","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.0058751"
"2011-01-12","1","-6","阴","西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.0378972"
"2011-01-13","0","-7","阴","东北风~北风","3-4级~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.0682058"
"2011-01-14","-1","-8","晴","北风","4-5级~微风","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.0990393"
"2011-01-15","-1","-9","多云","北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.1200664"
"2011-01-16","-1","-9","多云~晴","北风~西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.1420711"
"2011-01-26","0","-7","晴~多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.1721633"
"2011-01-29","-2","-8","晴","西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.1991793"
"2011-01-30","1","-8","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.2342072"
"2011-01-31","4","-5","晴","西风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201101.html","天津1月份天气|天津1月份气温|天津2011年1月份历史天气—全球天气网","2017-04-08 19:32:10.2542185"
"2011-02-01","8","-4","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:16.9924026"
"2011-02-02","6","-4","多云~晴","西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.2705879"
"2011-02-03","8","-4","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.3826675"
"2011-02-04","6","-4","多云","东北风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.4026825"
"2011-02-05","7","-4","多云","无持续风向~北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.4247334"
"2011-02-06","6","-2","晴~多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.4457237"
"2011-02-07","6","-2","阴","东南风~北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.4657382"
"2011-02-08","6","-4","多云","东北风","4-5级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.4981252"
"2011-02-09","4","-5","多云~阴","东南风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.5321370"
"2011-02-10","-1","-5","小雪~阴","无持续风向~西北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.5541021"
"2011-02-11","2","-9","晴","东北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.5741174"
"2011-02-12","0","-6","多云~小雪","无持续风向~东北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.5951311"
"2011-02-13","-2","-8","多云","东北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.6153112"
"2011-02-14","1","-5","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.6353250"
"2011-02-15","5","-4","晴~多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.6553395"
"2011-02-16","3","-5","小雪~阴","无持续风向~东北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.6763540"
"2011-02-17","4","-4","晴","东北风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.7133805"
"2011-02-18","7","-3","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.7333918"
"2011-02-19","10","0","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.7544303"
"2011-02-20","9","0","多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:17.7754575"
"2011-02-21","10","0","多云~晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.2420857"
"2011-02-22","12","0","多云~晴","西南风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.2771267"
"2011-02-23","13","0","晴~多云","无持续风向~东北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.2971249"
"2011-02-24","10","0","多云","东北风~东风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.3265734"
"2011-02-25","7","-2","多云~小雪","东风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.3478870"
"2011-02-26","2","-3","小雪~小到中雪","东风~东北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.3679012"
"2011-02-27","1","-3","小雪~多云","东北风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.3889140"
"2011-02-28","5","-4","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201102.html","天津2月份天气|天津2月份气温|天津2011年2月份历史天气—全球天气网","2017-04-08 19:32:18.4089710"
"2011-03-01","6","-6","晴","西北风~北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:20.5541599"
"2011-03-02","8","-1","晴","无持续风向~西北风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:20.5781610"
"2011-03-03","7","-1","晴","西北风~西风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:20.6001762"
"2011-03-04","10","2","多云","西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:20.7813822"
"2011-03-05","13","2","多云~晴","西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.0321572"
"2011-03-06","11","1","晴","西北风~北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.2172271"
"2011-03-07","10","1","晴","西北风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.3843379"
"2011-03-08","12","4","晴","西风~西北风","3-4级~4-5级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.4113481"
"2011-03-09","11","2","晴","西南风~西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.4403801"
"2011-03-10","14","5","晴","西风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.4643976"
"2011-03-11","17","5","多云~晴","无持续风向~西南风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.4854099"
"2011-03-12","19","9","晴~多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:21.5051073"
"2011-03-13","18","6","多云~阴","东北风~北风","4-5级~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.1983058"
"2011-03-14","10","1","多云","北风~西北风","5-6级~4-5级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.2193086"
"2011-03-15","9","0","晴","西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.2413245"
"2011-03-16","12","3","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.2628203"
"2011-03-17","17","5","晴~多云","无持续风向~西南风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.2848236"
"2011-03-18","15","3","阴~晴","西北风~北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.3048475"
"2011-03-19","13","4","多云~阴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.3268645"
"2011-03-20","14","3","阴~多云","无持续风向~东北风","微风~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.3478884"
"2011-03-21","9","0","晴","北风~西北风","4-5级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.3668942"
"2011-03-22","11","3","晴","西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.3969653"
"2011-03-23","13","3","多云","无持续风向~西北风","微风~4-5级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.4153242"
"2011-03-24","11","2","晴","西北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.4373372"
"2011-03-25","14","3","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.4563412"
"2011-03-26","15","3","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.4783753"
"2011-03-27","18","4","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.5043874"
"2011-03-28","15","5","晴","无持续风向~西风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.5263910"
"2011-03-29","19","6","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.5464043"
"2011-03-30","21","8","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.5660661"
"2011-03-31","22","6","多云~小雨","南风~东北风","3-4级~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201103.html","天津3月份天气|天津3月份气温|天津2011年3月份历史天气—全球天气网","2017-04-08 19:32:22.5870681"
"2011-04-01","12","2","小雨","东北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:24.7507876"
"2011-04-02","12","3","多云~晴","北风~西北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:25.5585460"
"2011-04-03","18","5","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:25.7466741"
"2011-04-04","20","8","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.0228578"
"2011-04-05","21","10","晴~阴","南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.2070051"
"2011-04-06","17","9","阴~多云","南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.2690318"
"2011-04-07","18","6","晴","西北风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.2930488"
"2011-04-08","21","9","晴","西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.3190758"
"2011-04-09","23","9","多云~阴","南风~东北风","微风~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.3500986"
"2011-04-10","17","7","多云~晴","东北风~西北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.3681139"
"2011-04-11","21","9","晴","无持续风向~西南风","微风~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.3881158"
"2011-04-12","25","12","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.4073276"
"2011-04-13","25","13","晴~阴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.4300694"
"2011-04-14","28","14","晴","西南风~东北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.4520821"
"2011-04-15","25","11","晴","东北风~南风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.4730872"
"2011-04-16","26","14","多云~阴","西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.4931025"
"2011-04-17","20","8","晴","北风","5-6级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.5151289"
"2011-04-18","22","10","晴","北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.5461010"
"2011-04-19","24","11","晴","南风~西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.5651133"
"2011-04-20","27","14","多云~小雨","南风~东南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.5865512"
"2011-04-21","18","10","小雨~多云","东北风~无持续风向","4-5级~微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.6045637"
"2011-04-22","22","9","多云~阵雨","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:26.9827835"
"2011-04-23","19","9","阵雨~多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.0140792"
"2011-04-24","22","10","晴~多云","西南风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.0350940"
"2011-04-25","18","9","阵雨","东南风~东北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.0622420"
"2011-04-26","19","9","阵雨~阴","东北风","4-5级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.0843046"
"2011-04-27","21","10","晴","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.1033055"
"2011-04-28","20","10","多云","南风~东南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.1233319"
"2011-04-29","20","10","阵雨","东风~西北风","3-4级~4-5级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.1443391"
"2011-04-30","22","10","扬沙~多云","西北风","5-6级","0","天津","http://lishi.tianqi.com/tianjin/201104.html","天津4月份天气|天津4月份气温|天津2011年4月份历史天气—全球天气网","2017-04-08 19:32:27.1723672"
"2011-05-01","26","12","晴","西南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.6840327"
"2011-05-02","27","16","多云","北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.7430819"
"2011-05-03","25","13","多云~阵雨","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.8344385"
"2011-05-04","21","14","阴~阵雨","南风","微风","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.8574550"
"2011-05-05","25","14","阴~晴","南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.8774752"
"2011-05-06","26","14","晴","西南风~无持续风向","3-4级~微风","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.8989453"
"2011-05-07","26","14","晴~小雨","东风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.9189475"
"2011-05-08","19","11","中雨~中到大雨","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.9675828"
"2011-05-09","22","14","多云","北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:32.9986150"
"2011-05-10","24","14","多云","无持续风向","微风","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.0226274"
"2011-05-11","27","14","晴~多云","西风~西北风","3-4级~5-6级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.0416434"
"2011-05-12","25","14","晴","西北风","5-6级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.5890288"
"2011-05-13","25","13","晴","西北风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.6160464"
"2011-05-14","30","17","晴~多云","西南风~东北风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.6360731"
"2011-05-15","25","15","多云~阴","东风~东南风","4-5级~3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.6560873"
"2011-05-16","26","15","晴","东南风~南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.6760986"
"2011-05-17","28","18","多云~阴","东南风","3-4级","0","天津","http://lishi.tianqi.com/tianjin/201105.html","天津5月份天气|天津5月份气温|天津2011年5月份历史天气—全球天气网","2017-04-08 19:32:33.7081232"
