date,city,weather
自2011-01-01到2017-04-01,东莞共出现,雨963天#多云919天#晴234天#阴105天#1天#冰雹1天。关注东莞历史天气
自2011-01-01到2017-04-01,佛山共出现,雨977天#多云915天#晴197天#阴132天#1天。关注佛山历史天气
自2011-01-01到2017-04-01,惠州共出现,多云1034天#雨903天#晴174天#阴110天#1天。关注惠州历史天气
自2011-01-01到2017-04-01,河源共出现,多云965天#雨931天#晴210天#阴116天。关注河源历史天气
自2011-01-01到2017-04-01,江门共出现,雨968天#多云858天#晴307天#阴88天#1天。关注江门历史天气
自2011-01-01到2017-04-01,揭阳共出现,多云981天#雨845天#晴324天#阴69天#2天。关注揭阳历史天气
自2011-01-01到2017-04-01,梅州共出现,多云996天#雨853天#晴253天#阴119天。关注梅州历史天气
自2011-01-01到2017-04-01,茂名共出现,多云1005天#雨992天#晴133天#阴90天#1天。关注茂名历史天气
自2011-01-01到2017-04-01,清远共出现,雨1051天#多云812天#晴226天#阴133天。关注清远历史天气
自2011-01-01到2017-04-01,韶关共出现,雨1102天#多云735天#晴277天#阴106天#雪2天。关注韶关历史天气
自2011-01-01到2017-04-01,汕头共出现,多云1079天#雨783天#晴247天#阴113天。关注汕头历史天气
自2011-01-01到2017-04-01,深圳共出现,多云1139天#雨916天#晴106天#阴58天#2天#雪1天。关注深圳历史天气
自2011-01-01到2017-04-01,汕尾共出现,多云1026天#雨819天#晴260天#阴116天#1天。关注汕尾历史天气
自2011-01-01到2017-04-01,云浮共出现,多云1034天#雨939天#晴127天#阴120天#1天。关注云浮历史天气
自2011-01-01到2017-04-01,阳江共出现,雨996天#多云865天#晴200天#阴159天#3天。关注阳江历史天气
自2011-01-01到2017-04-01,珠海共出现,多云994天#雨860天#晴310天#阴56天#2天。关注珠海历史天气
自2011-01-01到2017-04-01,肇庆共出现,雨1001天#多云892天#晴234天#阴95天。关注肇庆历史天气
自2011-01-01到2017-04-01,湛江共出现,多云1107天#雨985天#阴71天#晴57天#2天。关注湛江历史天气
自2011-01-01到2017-04-01,中山共出现,多云1069天#雨862天#阴148天#晴141天#1天。关注中山历史天气
自2011-01-01到2017-04-01,南宁共出现,雨1078天#多云880天#阴143天#晴122天#1天。关注南宁历史天气
自2011-01-01到2017-04-01,百色共出现,多云1014天#雨971天#阴119天#晴117天。关注百色历史天气
自2011-01-01到2017-04-01,北海共出现,多云1123天#雨969天#阴105天#晴26天。关注北海历史天气
自2011-01-01到2017-04-01,崇左共出现,多云1047天#雨1039天#阴92天#晴42天#1天。关注崇左历史天气
自2011-01-01到2017-04-01,防城港共出现,雨1235天#多云821天#晴87天#阴77天。关注防城港历史天气
自2011-01-01到2017-04-01,桂林共出现,雨1160天#多云767天#晴186天#阴95天#雪14天。关注桂林历史天气
自2011-01-01到2017-04-01,贵港共出现,雨1166天#多云872天#晴107天#阴74天#1天。关注贵港历史天气
自2011-01-01到2017-04-01,贺州共出现,雨1230天#多云816天#晴117天#阴57天#1天。关注贺州历史天气
自2011-01-01到2017-04-01,河池共出现,雨1189天#多云797天#阴132天#晴103天#雪1天。关注河池历史天气
自2011-01-01到2017-04-01,来宾共出现,雨1140天#多云822天#阴145天#晴114天。关注来宾历史天气
自2011-01-01到2017-04-01,钦州共出现,雨1214天#多云845天#阴104天#晴59天。关注钦州历史天气
自2011-01-01到2017-04-01,梧州共出现,雨1128天#多云866天#晴139天#阴78天#雪11天。关注梧州历史天气
自2011-01-01到2017-04-01,玉林共出现,雨1123天#多云799天#晴195天#阴105天。关注玉林历史天气
自2011-01-01到2017-04-01,大庆共出现,多云854天#晴806天#雨408天#雪140天#阴16天。关注大庆历史天气
自2011-01-01到2017-04-01,大兴安岭共出现,多云1023天#晴481天#雨412天#雪239天#阴51天#18天。关注大兴安岭历史天气
自2011-01-01到2017-04-01,哈尔滨共出现,晴763天#多云684天#雨516天#雪228天#29天#阴3天。关注哈尔滨历史天气
自2011-01-01到2017-04-01,黑河共出现,多云962天#晴496天#雨476天#雪284天#阴7天。关注黑河历史天气
自2011-01-01到2017-04-01,鹤岗共出现,多云1017天#雨505天#晴492天#雪209天。关注鹤岗历史天气
自2011-01-01到2017-04-01,佳木斯共出现,多云728天#晴700天#雨540天#雪254天#阴2天。关注佳木斯历史天气
自2011-01-01到2017-04-01,鸡西共出现,多云843天#晴559天#雨552天#雪264天#阴5天。关注鸡西历史天气
自2011-01-01到2017-04-01,牡丹江共出现,多云819天#雨568天#晴562天#雪271天#阴4天。关注牡丹江历史天气
自2011-01-01到2017-04-01,齐齐哈尔共出现,多云1005天#晴668天#雨408天#雪131天#阴9天#3天#沙尘1天。关注齐齐哈尔历史天气
自2011-01-01到2017-03-01#七台河共出现,多云750天#晴617天#雨538天#雪288天。关注七台河历史天气
自2011-01-01到2017-04-01,绥化共出现,多云1017天#晴542天#雨474天#雪185天#5天#阴1天。关注绥化历史天气
自2011-01-01到2017-04-01,双鸭山共出现,晴752天#雨588天#多云566天#雪315天#阴1天。关注双鸭山历史天气
自2011-01-01到2017-04-01,伊春共出现,多云816天#雨571天#晴500天#雪330天#阴6天。关注伊春历史天气
自2011-01-01到2017-04-01,保定共出现,多云829天#晴818天#雨397天#65天#阴63天#雪51天。关注保定历史天气
自2011-01-01到2017-04-01,承德共出现,多云825天#晴792天#雨461天#雪121天#阴23天#3天。关注承德历史天气
自2011-01-01到2017-04-01,沧州共出现,多云922天#晴772天#雨348天#阴95天#雪47天#40天。关注沧州历史天气
自2011-01-01到2017-04-01,衡水共出现,多云979天#晴726天#雨358天#阴69天#雪48天#44天。关注衡水历史天气
自2011-01-01到2017-04-01,邯郸共出现,多云965天#晴715天#雨367天#阴89天#雪53天#34天。关注邯郸历史天气
自2011-01-01到2017-04-01,廊坊共出现,多云837天#晴784天#雨351天#阴133天#60天#雪57天#沙尘1天。关注廊坊历史天气
自2011-01-01到2017-04-01,秦皇岛共出现,多云900天#晴738天#雨393天#阴95天#雪69天#26天#沙尘2天。关注秦皇岛历史天气
自2011-01-01到2017-04-01,石家庄共出现,多云870天#晴717天#雨390天#98天#阴91天#雪60天。关注石家庄历史天气
自2011-01-01到2017-04-01,唐山共出现,多云834天#晴712天#雨530天#阴70天#雪60天#18天。关注唐山历史天气
自2011-01-01到2017-04-01,邢台共出现,多云955天#晴703天#雨390天#阴64天#雪60天#51天。关注邢台历史天气
自2011-01-01到2017-04-01,张家口共出现,多云872天#晴720天#雨468天#雪117天#阴44天#沙尘3天。关注张家口历史天气
自2011-01-01到2017-04-01,郑州共出现,多云930天#晴683天#雨446天#阴110天#雪51天#4天。关注郑州历史天气
自2011-01-01到2017-04-01,安阳共出现,多云1017天#晴664天#雨391天#阴104天#雪47天#1天。关注安阳历史天气
自2011-01-01到2017-04-01,鹤壁共出现,多云961天#晴644天#雨420天#阴121天#雪58天#18天。关注鹤壁历史天气
自2011-01-01到2017-04-01,焦作共出现,多云944天#晴669天#雨438天#阴115天#雪54天#4天。关注焦作历史天气
自2011-01-01到2017-04-01,济源共出现,多云929天#晴568天#雨531天#阴120天#雪68天#5天。关注济源历史天气
自2011-01-01到2017-04-01,开封共出现,多云945天#晴652天#雨449天#阴124天#雪49天#4天。关注开封历史天气
自2011-01-01到2017-04-01,洛阳共出现,多云936天#晴589天#雨469天#阴155天#雪66天#8天。关注洛阳历史天气
自2011-01-01到2017-04-01,漯河共出现,多云838天#晴772天#雨464天#阴96天#雪51天#2天。关注漯河历史天气
自2011-01-01到2017-04-01,南阳共出现,多云896天#雨591天#晴520天#阴160天#雪56天。关注南阳历史天气
自2011-01-01到2017-04-01,平顶山共出现,多云896天#晴707天#雨465天#阴102天#雪50天#5天。关注平顶山历史天气
自2011-01-01到2017-04-01,濮阳共出现,多云913天#晴694天#雨432天#阴113天#雪62天#8天#沙尘1天。关注濮阳历史天气
自2011-01-01到2017-04-01,商丘共出现,多云842天#晴735天#雨478天#阴117天#雪48天#4天。关注商丘历史天气
自2011-01-01到2017-04-01,三门峡共出现,多云956天#晴624天#雨459天#阴117天#雪66天#1天。关注三门峡历史天气
自2011-01-01到2017-04-01,新乡共出现,多云952天#晴652天#雨446天#阴119天#雪42天#12天。关注新乡历史天气
自2011-01-01到2017-04-01,许昌共出现,多云958天#晴670天#雨448天#阴91天#雪50天#5天。关注许昌历史天气
自2011-01-01到2017-04-01,信阳共出现,多云844天#雨685天#晴501天#阴132天#雪60天#1天。关注信阳历史天气
自2011-01-01到2017-04-01,周口共出现,多云885天#晴678天#雨502天#阴103天#雪48天#7天。关注周口历史天气
自2011-01-01到2017-04-01,武汉共出现,多云1140天#雨757天#晴218天#阴73天#雪35天。关注武汉历史天气
自2011-01-01到2017-04-01,恩施共出现,雨1134天#多云824天#阴117天#晴82天#雪66天。关注恩施历史天气
自2011-01-01到2017-04-01,鄂州共出现,多云1084天#雨801天#晴231天#阴68天#雪36天。关注鄂州历史天气
自2011-01-01到2017-04-01,黄冈共出现,多云1057天#雨804天#晴247天#阴77天#雪37天。关注黄冈历史天气
自2011-01-01到2017-04-01,黄石共出现,多云1056天#雨826天#晴247天#阴62天#雪30天。关注黄石历史天气
自2011-01-01到2017-04-01,荆州共出现,多云1032天#雨838天#晴211天#阴99天#雪42天。关注荆州历史天气
自2011-01-01到2017-04-01,荆门共出现,多云1159天#雨703天#晴196天#阴114天#雪51天。关注荆门历史天气
自2011-01-01到2017-04-01,十堰共出现,多云1068天#雨702天#晴299天#阴83天#雪68天。关注十堰历史天气
自2011-01-01到2017-04-01,神农架共出现,多云965天#雨824天#晴201天#雪148天#阴84天。关注神农架历史天气
自2011-01-01到2017-04-01,随州共出现,多云1124天#雨609天#晴352天#阴88天#雪50天。关注随州历史天气
自2011-01-01到2017-04-01,天门共出现,多云1097天#雨768天#晴221天#阴98天#雪37天。关注天门历史天气
自2011-01-01到2017-04-01,武汉共出现,多云1140天#雨757天#晴218天#阴73天#雪35天。关注武汉历史天气
自2012-04-12到2017-04-01,襄阳共出现,多云869天#雨507天#晴276天#阴84天#雪40天#3天。关注襄阳历史天气
自2011-01-01到2017-04-01,孝感共出现,多云1160天#雨683天#晴238天#阴108天#雪32天。关注孝感历史天气
自2011-01-01到2017-04-01,咸宁共出现,多云1015天#雨871天#晴230天#阴62天#雪44天。关注咸宁历史天气
自2011-01-01到2017-04-01,仙桃共出现,多云1116天#雨755天#晴236天#阴81天#雪34天。关注仙桃历史天气
自2011-01-01到2017-04-01,宜昌共出现,多云1001天#雨902天#晴157天#阴114天#雪48天。关注宜昌历史天气
自2011-01-01到2017-04-01,长沙共出现,雨995天#多云776天#晴290天#阴113天#雪48天#1天。关注长沙历史天气
自2011-01-01到2017-04-01,郴州共出现,雨1131天#多云701天#晴262天#阴96天#雪33天。关注郴州历史天气
自2011-01-01到2017-04-01,常德共出现,雨882天#多云845天#晴337天#阴111天#雪48天。关注常德历史天气
自2011-01-01到2017-04-01,衡阳共出现,雨975天#多云843天#晴254天#阴112天#雪36天。关注衡阳历史天气
自2011-01-01到2017-04-01,怀化共出现,雨925天#多云875天#晴204天#阴178天#雪40天。关注怀化历史天气
自2011-01-01到2017-04-01,娄底共出现,雨922天#多云868天#晴301天#阴91天#雪40天#1天。关注娄底历史天气
自2011-01-01到2017-04-01,邵阳共出现,雨890天#多云761天#晴438天#阴95天#雪38天#1天。关注邵阳历史天气
自2011-01-01到2017-04-01,湘潭共出现,雨898天#多云747天#晴441天#阴97天#雪39天#1天。关注湘潭历史天气
自2011-01-01到2017-04-01,大连共出现,晴927天#多云751天#雨405天#雪96天#阴34天#7天#沙尘4天。关注大连历史天气
自2011-01-01到2017-04-01,益阳共出现,多云1050天#雨827天#晴218天#阴79天#雪49天。关注益阳历史天气
自2011-01-01到2017-04-01,岳阳共出现,多云935天#雨825天#晴332天#阴84天#雪47天。关注岳阳历史天气
自2011-01-01到2017-04-01,永州共出现,雨977天#多云886天#晴192天#阴138天#雪31天。关注永州历史天气
自2011-01-01到2017-04-01,株洲共出现,雨966天#多云820天#晴308天#阴89天#雪40天。关注株洲历史天气
自2011-01-01到2017-04-01,张家界共出现,雨895天#多云876天#晴255天#阴138天#雪58天#1天。关注张家界历史天气
自2011-01-01到2017-04-01,海口共出现,多云1119天#雨1067天#阴33天#晴4天#1天。关注海口历史天气
自2011-01-01到2017-04-01,白沙共出现,雨1134天#多云1056天#阴30天#晴2天#1天。关注白沙历史天气
自2011-01-01到2017-04-01,保亭共出现,多云1283天#雨911天#阴20天#晴7天。关注保亭历史天气
自2011-01-01到2017-04-01,澄迈共出现,雨1182天#多云1005天#阴32天#晴3天。关注澄迈历史天气
自2011-01-01到2017-04-01,昌江共出现,多云1403天#雨752天#阴57天#5天#晴5天。关注昌江历史天气
自2011-01-01到2017-04-01,东方共出现,多云1661天#雨502天#阴58天#晴3天。关注东方历史天气
自2011-01-01到2017-04-01,儋州共出现,雨1144天#多云1049天#阴23天#晴4天#1天。关注儋州历史天气
自2011-01-01到2017-04-01,定安共出现,雨1174天#多云1018天#阴25天#晴4天#1天。关注定安历史天气
自2011-01-01到2017-04-01,临高共出现,多云1271天#雨908天#阴41天#晴2天。关注临高历史天气
自2011-01-01到2017-04-01,陵水共出现,多云1419天#雨779天#阴21天#晴2天#1天。关注陵水历史天气
自2011-01-01到2017-04-01,乐东共出现,多云1441天#雨752天#阴25天#晴3天。关注乐东历史天气
自2011-01-01到2017-04-01,南沙岛共出现,雨1340天#多云877天#阴2天。关注南沙岛历史天气
自2011-01-01到2017-04-01,琼中共出现,雨1211天#多云990天#阴15天#晴5天#1天。关注琼中历史天气
自2011-01-01到2017-04-01,琼海共出现,多云1139天#雨1046天#阴23天#7天#晴6天。关注琼海历史天气
自2011-01-01到2017-04-01,三亚共出现,多云1537天#雨653天#阴18天#晴16天。关注三亚历史天气
自2011-01-01到2017-04-01,屯昌共出现,雨1266天#多云933天#阴18天#晴3天#2天。关注屯昌历史天气
自2011-01-01到2017-04-01,文昌共出现,多云1165天#雨1029天#阴24天#2天#晴1天。关注文昌历史天气
自2011-01-01到2017-04-01,万宁共出现,雨1102天#多云1095天#阴17天#晴4天#1天。关注万宁历史天气
自2011-01-01到2017-04-01,五指山共出现,多云1292天#雨898天#阴27天#晴3天#1天。关注五指山历史天气
自2011-01-01到2017-04-01,西沙共出现,多云1383天#雨828天#阴5天#晴4天。关注西沙历史天气
自2011-01-01到2017-04-01,驻马店共出现,多云925天#晴557天#雨524天#阴161天#雪53天#1天。关注驻马店历史天气
自2011-01-01到2017-04-01,潜江共出现,多云1060天#雨808天#晴223天#阴91天#雪38天。关注潜江历史天气
